patient_id,n_cells,frac_Primitive,frac_Progenitor,frac_Mature
PT8A,956,0.9937238493723849,0.0010460251046025104,0.005230125523012552
PT5A,5171,0.989170373235351,0.005221427190098627,0.005608199574550377
PT1A,5030,0.945924453280318,0.0075546719681908545,0.046520874751491054
PT6A,2476,0.9268982229402262,0.04281098546042003,0.030290791599353797
PT7A,2677,0.9125887187149795,0.05267090026148674,0.03474038102353381
PT2A,989,0.890798786653185,0.06774519716885744,0.041456016177957536
PT3A,229,0.7947598253275109,0.1222707423580786,0.08296943231441048
PT4A,4672,0.7211044520547946,0.1541095890410959,0.1247859589041096
